Date,Price,Open,High,Low,Vol.,Change %
"Dec 07, 2021",123.74,123.74,123.74,123.74,-,0.05
"Dec 06, 2021",117.50,117.50,117.50,117.50,-,0.01
"Dec 03, 2021",116.59,116.59,116.59,116.59,-,0.02
"Dec 02, 2021",114.86,114.86,114.86,114.86,-,-0.02
"Dec 01, 2021",117.15,117.15,117.15,117.15,-,0.02
"Nov 30, 2021",115.02,115.02,115.02,115.02,-,-0.05
"Nov 29, 2021",120.92,120.92,120.92,120.92,-,-0.05
"Nov 26, 2021",127.84,127.84,127.84,127.84,-,-0.04
"Nov 25, 2021",133.78,133.78,133.78,133.78,-,0.00
"Nov 24, 2021",133.78,133.78,133.78,133.78,-,0.01
"Nov 23, 2021",132.35,132.35,132.35,132.35,-,0.02
"Nov 22, 2021",129.96,129.96,129.96,129.96,-,0.02
"Nov 19, 2021",127.41,127.41,127.41,127.41,-,-0.03
"Nov 18, 2021",131.56,131.56,131.56,131.56,-,-0.01
"Nov 17, 2021",132.40,132.40,132.40,132.40,-,-0.01
"Nov 16, 2021",134.24,134.24,134.24,134.24,-,0.01
"Nov 15, 2021",132.59,132.59,132.59,132.59,-,-0.01
"Nov 12, 2021",133.99,133.99,133.99,133.99,-,0.00
"Nov 11, 2021",134.38,134.38,134.38,134.38,-,-0.02
"Nov 10, 2021",136.90,136.90,136.90,136.90,-,0.00
"Nov 09, 2021",137.14,137.14,137.14,137.14,-,0.01
"Nov 08, 2021",136.18,136.18,136.18,136.18,-,0.01
"Nov 05, 2021",135.06,135.06,135.06,135.06,-,0.01
"Nov 04, 2021",133.73,133.73,133.73,133.73,-,0.00
"Nov 03, 2021",133.92,133.92,133.92,133.92,-,-0.03
"Nov 02, 2021",137.61,137.61,137.61,137.61,-,0.00
"Nov 01, 2021",137.77,137.77,137.77,137.77,-,0.01
"Oct 29, 2021",136.33,136.33,136.33,136.33,-,0.00
"Oct 28, 2021",135.67,135.67,135.67,135.67,-,-0.02
"Oct 27, 2021",137.74,137.74,137.74,137.74,-,-0.02
"Oct 26, 2021",140.29,140.29,140.29,140.29,-,0.00
"Oct 25, 2021",140.61,140.61,140.61,140.61,-,0.02
"Oct 22, 2021",137.91,137.91,137.91,137.91,-,0.01
"Oct 21, 2021",136.03,136.03,136.03,136.03,-,-0.02
"Oct 20, 2021",138.66,138.66,138.66,138.66,-,0.00
"Oct 19, 2021",138.07,138.07,138.07,138.07,-,0.00
"Oct 18, 2021",137.43,137.43,137.43,137.43,-,-0.01
"Oct 15, 2021",138.15,138.15,138.15,138.15,-,0.02
"Oct 14, 2021",135.36,135.36,135.36,135.36,-,0.00
"Oct 13, 2021",134.95,134.95,134.95,134.95,-,0.00
"Oct 12, 2021",134.76,134.76,134.76,134.76,-,-0.01
"Oct 11, 2021",135.89,135.89,135.89,135.89,-,0.02
"Oct 08, 2021",132.66,132.66,132.66,132.66,-,0.01
"Oct 07, 2021",131.90,131.90,131.90,131.90,-,0.01
"Oct 06, 2021",130.88,130.88,130.88,130.88,-,-0.02
"Oct 05, 2021",133.90,133.90,133.90,133.90,-,0.02
"Oct 04, 2021",131.01,131.01,131.01,131.01,-,0.04
"Oct 01, 2021",126.16,126.16,126.16,126.16,-,0.00
