Date,Price,Open,High,Low,Vol.,Change %
"Oct 07, 2021",1762.70,1763.00,1769.90,1755.90,3.05K,0.00
"Oct 06, 2021",1765.10,1759.40,1768.80,1749.50,1.07K,0.00
"Oct 05, 2021",1764.20,1769.00,1769.00,1752.70,1.43K,0.00
"Oct 04, 2021",1770.60,1764.50,1774.00,1752.00,0.75K,0.01
"Oct 01, 2021",1761.50,1758.60,1766.00,1753.30,1.17K,0.00
"Sep 30, 2021",1759.70,1732.90,1766.00,1727.70,3.44K,0.02
"Sep 29, 2021",1726.30,1737.60,1749.20,1725.00,0.99K,-0.01
"Sep 28, 2021",1741.10,1750.80,1754.20,1732.00,0.79K,-0.01
"Sep 27, 2021",1755.60,1762.30,1762.30,1748.60,0.98K,0.00
"Sep 24, 2021",1755.40,1753.00,1761.00,1745.50,0.84K,0.00
"Sep 23, 2021",1753.40,1771.30,1780.20,1742.10,1.21K,-0.02
"Sep 22, 2021",1782.70,1782.70,1791.20,1770.00,0.49K,0.00
"Sep 21, 2021",1781.90,1770.20,1785.80,1765.70,0.64K,0.01
"Sep 20, 2021",1767.50,1753.00,1771.00,1748.30,1.07K,0.01
"Sep 17, 2021",1754.90,1757.40,1771.40,1751.00,2.34K,0.00
"Sep 16, 2021",1760.40,1799.00,1799.00,1750.00,0.66K,-0.02
"Sep 15, 2021",1798.50,1806.30,1810.50,1796.00,0.39K,-0.01
"Sep 14, 2021",1810.80,1800.00,1814.20,1786.60,1.16K,0.01
"Sep 13, 2021",1798.30,1788.60,1803.00,1788.60,2.69K,0.00
"Sep 10, 2021",1795.90,1807.00,1808.00,1795.60,0.84K,0.00
"Sep 09, 2021",1803.90,1794.10,1807.00,1789.60,1.48K,0.00
"Sep 08, 2021",1797.30,1802.30,1807.30,1787.20,1.36K,0.00
"Sep 07, 2021",1802.30,1835.00,1835.00,1798.60,1.22K,-0.01
"Sep 06, 2021",1825.65,1829.95,1830.65,1823.65,-,0.00
"Sep 05, 2021",1830.05,1832.20,1832.50,1829.65,-,0.00
