Date,Price,Open,High,Low,Vol.,Change %,day
"Dec 11, 2021",49363.10,47170.00,49510.00,46897.00,5.29K,0.05,272.00
"Dec 10, 2021",47170.00,47611.00,50105.00,47060.00,8.17K,-0.01,271.00
"Dec 09, 2021",47611.00,50503.40,50824.00,47408.00,5.28K,-0.06,270.00
"Dec 08, 2021",50503.40,50634.00,51239.00,48760.00,4.03K,0.00,269.00
"Dec 07, 2021",50634.00,50566.60,51969.00,50102.00,3.91K,0.00,268.00
"Dec 06, 2021",50566.60,49469.00,50974.00,47295.00,8.05K,0.02,267.00
"Dec 05, 2021",49469.00,49272.00,49752.00,47860.00,4.78K,0.00,266.00
"Dec 04, 2021",49272.00,53709.00,53879.00,42101.00,22.58K,-0.08,265.00
"Dec 03, 2021",53709.00,56517.00,57599.00,52062.00,10.73K,-0.05,264.00
"Dec 02, 2021",56517.00,57250.00,57389.00,55842.00,4.41K,-0.01,263.00
"Dec 01, 2021",57250.00,56938.00,59055.00,56505.00,5.18K,0.01,262.00
"Nov 30, 2021",56938.00,57845.00,59174.00,55940.00,6.47K,-0.02,261.00
"Nov 29, 2021",57845.00,57325.00,58886.00,56772.00,5.07K,0.01,260.00
"Nov 28, 2021",57325.00,54836.00,57469.00,53482.00,4.94K,0.05,259.00
"Nov 27, 2021",54836.00,53738.00,55329.00,53711.00,3.09K,0.02,258.00
"Nov 26, 2021",53738.00,58995.00,59229.00,53565.00,12.19K,-0.09,257.00
"Nov 25, 2021",58995.00,57209.00,59423.40,57070.00,3.98K,0.03,256.00
"Nov 24, 2021",57209.00,57602.00,57762.00,55916.90,4.89K,-0.01,255.00
"Nov 23, 2021",57602.00,56299.00,57866.20,55460.00,8.56K,0.02,254.00
"Nov 22, 2021",56299.00,58790.00,59407.00,55714.00,8.83K,-0.04,253.00
"Nov 21, 2021",58790.00,59739.00,60047.00,58624.00,2.44K,-0.02,252.00
"Nov 20, 2021",59739.00,58130.00,59886.00,57494.40,3.13K,0.03,251.00
"Nov 19, 2021",58130.00,56932.00,58379.00,55670.00,5.18K,0.02,250.00
"Nov 18, 2021",57014.00,60386.10,60945.00,56559.00,11.54K,-0.06,249.00
"Nov 17, 2021",60386.10,60124.00,60847.00,58427.00,6.72K,0.00,248.00
"Nov 16, 2021",60124.00,63562.00,63562.00,58708.00,13.07K,-0.05,247.00
"Nov 15, 2021",63562.00,65471.00,66320.00,63383.30,5.27K,-0.03,246.00
